"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,2.06384699470021,0.412769398940041,1.33561295639413,1.43496192719993,1.77251781238605,2.03639521824286,2.32527882438343,2.78639184250179,2.94800710397275
"2",3,9,1.9734662448361,0.354445000943432,1.34087456709532,1.42882214141452,1.72426575362494,1.9522872207555,2.19959664689645,2.5903659104159,2.72636687834813
"3",4,10,1.60202376336923,0.283200466675095,1.09578306821065,1.16634602222014,1.40302260596578,1.58536727257431,1.78288073997319,2.09452743931181,2.20288407789324
"4",5,11,1.43854571058558,0.250418665283862,0.99022867543874,1.05287112464498,1.26267257173883,1.42404132865418,1.59861863553471,1.87370377061317,1.96925800808801
"5",6,12,1.27346250860633,0.225118493855593,0.87104741317764,0.927138513997906,1.11527477199649,1.26022212039407,1.41722727938642,1.66495792896429,1.75109155566022
"6",7,13,1.44572427490932,0.23452744643903,1.02308054206692,1.08276790533786,1.28139844108434,1.4330624501288,1.59625574750619,1.85187711924929,1.94029993486024
"7",8,14,1.64157654543896,0.23694116510114,1.21036895662135,1.27223097244256,1.47616520013326,1.63019088942797,1.79458221750625,2.04976377533609,2.13747070303935
"8",9,15,1.38345405180445,0.199684392305194,1.02004980630883,1.07218460116712,1.24405208695949,1.37385868326399,1.51240101901026,1.72745767360633,1.80137351069569
"9",10,16,1.47266302455071,0.196792874429964,1.11243382242082,1.16459220608969,1.33558868423075,1.46390650981466,1.60019569425217,1.8106058415901,1.88264346878505
"10",11,17,1.4022812581013,0.181033731977504,1.07008832909343,1.11837349030784,1.27630573338062,1.3944985478258,1.51977599243158,1.71273882154118,1.77869331092324
"11",12,18,1.45927503964843,0.175676070534846,1.13540308384942,1.18282665999951,1.33725787899371,1.45223148829006,1.57361647114304,1.75975139110146,1.82316754389066
"12",13,19,1.33473540542262,0.15840394976975,1.04243942532374,1.08530079021039,1.22475575996726,1.32847429908503,1.43789192699212,1.60552875866857,1.6626063681356
"13",14,20,1.35325623517848,0.153226095640558,1.06969289733182,1.11146337247898,1.24699901469156,1.34747750311551,1.45321581617366,1.61476216600598,1.66965428322236
"14",15,21,1.33659000544465,0.145833925549322,1.0661165339774,1.10609513926367,1.23555140963409,1.33128983487963,1.43185237043529,1.58516533051649,1.63717935643039
"15",16,22,1.37537757093425,0.14185936482894,1.11144507903294,1.15064908838108,1.27722398613601,1.37050343214722,1.46821906292458,1.61673308205247,1.66700565213622
"16",17,23,1.3013878743637,0.131460027273789,1.05652958223617,1.0929637778514,1.21047333217378,1.29696407161299,1.38748107392421,1.52490274533425,1.57138301783256
"17",18,24,1.27003416632032,0.125140184834439,1.03664304977374,1.07144144106345,1.18353896354237,1.26592639647534,1.35205240665029,1.48263955727276,1.52676652508192
"18",19,25,1.16795030096631,0.116215398577843,0.951314702194776,0.983589288360433,1.08760608394751,1.16409794929715,1.2440959490069,1.36545269488845,1.40647574668745
"19",20,26,1.17545742049537,0.114712898240933,0.961407713707385,0.993346849762341,1.09618641862668,1.17172792298915,1.25066371226286,1.37029025991143,1.41069899365888
"20",21,27,1.22960053084211,0.115162641110004,1.01426881053138,1.04650199764612,1.15009018460004,1.22600708255622,1.30519437461978,1.4249571862848,1.46535124988435
"21",22,28,1.07844914825802,0.104748241097425,0.88294579860952,0.912128525042359,1.00607171142001,1.07505970120318,1.14713248179122,1.25633203581551,1.29321214109866
"22",23,29,1.14004873234446,0.10724676334907,0.939561512311712,0.969562560134653,1.06599663172595,1.13668752604084,1.21043745798787,1.32200079777828,1.359635267013
"23",24,30,1.03759301602833,0.100779942734895,0.849496145134521,0.877573308702492,0.96795753706073,1.03433197530335,1.10367433966487,1.20873696110793,1.24421989485032
"24",25,31,0.979996110725295,0.0979996110725295,0.797363949789916,0.824561644331854,0.912237551240004,0.976731399891126,1.04419656269968,1.14656736723244,1.18117900027905
"25",26,32,1.04018341755269,0.10199837584263,0.849905228533114,0.878286506798934,0.969691130231027,1.03685140268704,1.10704421161867,1.21344668756376,1.24939486268152
"26",27,33,1.00508963484112,0.10001015661615,0.818662014862154,0.846436186414701,0.93594873074768,1.00177446061733,1.07061742444017,1.1750520115135,1.2103547500963
"27",28,34,1.03973029112567,0.101953943140833,0.849534991406655,0.877903906172926,0.969268711771231,1.03639972775788,1.10656195918156,1.21291808390346,1.2488505992175
"28",29,35,1.06172756493178,0.102641077844515,0.870111361795902,0.898724443458216,0.990813458929098,1.05842184048977,1.12903880800623,1.23600734650576,1.27212770057721
"29",30,36,1.09372432939902,0.103347234944668,0.900569229435455,0.929463276253443,1.02235793956731,1.09047092537682,1.16154484448904,1.26908354048197,1.30536616268122
"30",31,37,1.15124483939091,0.10465862176281,0.95527244130644,0.984673003063881,1.07903230905351,1.14807492391018,1.22000243445061,1.32862999655221,1.36522971824502
"31",32,38,1.30172040986041,0.108855329200893,1.09711613349462,1.12799180817718,1.22673904892591,1.29868735718361,1.37339590454483,1.48579539321471,1.52355974710959
"32",33,39,1.271386722515,0.102785524469357,1.07791303462223,1.10717385723278,1.20063238943427,1.26861789219006,1.33912314498097,1.4450446289694,1.48059414188987
"33",34,40,1.27600554448226,0.09903723741541,1.0892759924763,1.11758941867475,1.20788322695189,1.27344420105006,1.34133606968095,1.44315890843854,1.477289889337
"34",35,41,1.21207334623577,0.0929617820477914,1.03671571483311,1.0633242014166,1.14814387799154,1.20969756206091,1.27341326782779,1.36892674470654,1.40093135729345
"35",36,42,1.18968652042689,0.0896759955999882,1.02041205492301,1.04612430716804,1.12803592286994,1.18743408648513,1.24888200840868,1.34093220813661,1.37176046119972
"36",37,43,1.13018428136611,0.0854339012619706,0.96893514715063,0.993424212380495,1.07144705250067,1.12803227989056,1.1865758719121,1.2742852320681,1.30366217745545
"37",38,44,1.16915229294009,0.0857264053901321,1.00716207160425,1.03180781180437,1.11024570537338,1.16705770679011,1.22577580546638,1.31364178879395,1.34304506426644
"38",39,45,1.17576512424326,0.0841982893847422,1.01652249420099,1.04078289742345,1.11793216942844,1.17375588125618,1.23140801422602,1.31760123589138,1.34642537509607
"39",40,46,1.22725731205629,0.0840902854274257,1.06796663954466,1.09229335673095,1.16954126249409,1.22533725683207,1.28288048953288,1.36877090217878,1.39745885158422
"40",41,47,1.18591986051837,0.080137037753857,1.03404431705526,1.05725577477356,1.13092963523527,1.1841152967025,1.23894309407808,1.32073961612408,1.34804999858732
"41",42,48,1.15628211598341,0.0772573485797133,1.00980735830949,1.03220668631074,1.1032776080912,1.15456191401542,1.20741158284589,1.28622544000069,1.3125320871872
"42",43,49,1.22360717517307,0.0780143440827562,1.07546613253374,1.09817438242627,1.17012278273935,1.22194957086242,1.275284741714,1.35469431955628,1.38116776181349
"43",44,50,1.23163654402178,0.0759459627927934,1.08726914150796,1.10943501864198,1.17959660627871,1.23007588667595,1.28197531966395,1.35916171228198,1.38487260681895
