"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,1.59523530835584,0.480981542740292,0.796335718332765,0.894638022322543,1.25005679895855,1.54716396605318,1.88812522620747,2.4598846393542,2.66699502649654
"2",3,9,1.56026064568085,0.450408451894908,0.806209443560626,0.900298023939808,1.23762816348766,1.51714065226735,1.83598145723338,2.36737232844651,2.55909250992332
"3",4,10,1.28445414584414,0.387277496561948,0.641194881744761,0.72034608987332,1.00652275532808,1.24574798469442,1.52028372364367,1.98065389273092,2.14741536924723
"4",5,11,1.24785435217038,0.376242243560106,0.62292439661109,0.699820235876614,0.977842459272252,1.21025110116858,1.47696409966881,1.92421628143307,2.08622598409043
"5",6,12,1.33173406987999,0.384438511867104,0.6881264270946,0.768434142619221,1.05635657460315,1.29492972922017,1.5670709025662,2.02063058797949,2.18427010440453
"6",7,13,1.04637332225837,0.330892298117382,0.501776680149234,0.567699978386492,0.80841618064187,1.01170850333665,1.24663306424078,1.64335194843957,1.78770825475928
"7",8,14,1.08226649840173,0.342242717024444,0.518988853263847,0.587173482619978,0.836146842110083,1.04641259101123,1.28939564162029,1.69972295838042,1.84903104072492
"8",9,15,1.21343331467628,0.365863910263497,0.605741538712291,0.680516269403007,0.950869478094284,1.17686731847138,1.4362232579482,1.87113835558797,2.02867915364932
"9",10,16,1.06578384335947,0.337030443842404,0.511084779496657,0.578230973563031,0.823412529458321,1.03047598224159,1.26975846020036,1.67383659191545,1.82087074854946
"10",11,17,1.18955388458796,0.358663991189818,0.593821013249277,0.667124235013788,0.932157101443143,1.15370747893611,1.40795949391224,1.83431579846233,1.98875631533981
"11",12,18,1.36788818956844,0.379383923583894,0.728342850861382,0.809114102144904,1.09659550907617,1.33297853170741,1.6011954847866,2.04578930471203,2.20562343246429
"12",13,19,1.25143757014697,0.347086332862074,0.666337800462658,0.740232859441032,1.00324049127533,1.21949983010255,1.46488302340254,1.87162782458791,2.01785500454766
