"","FECHA_INGRESO","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-03-12",1,1,0,0
"2","2020-03-15",4,5,0,0
"3","2020-03-16",2,7,0,0
"4","2020-03-17",6,13,0,0
"5","2020-03-19",2,15,0,0
"6","2020-03-20",6,21,0,0
"7","2020-03-22",8,29,0,0
"8","2020-03-23",5,34,4.85714285714286,17.8571428571429
"9","2020-03-24",8,42,5.85714285714286,23.7142857142857
"10","2020-03-25",3,45,5.71428571428571,29.4285714285714
"11","2020-03-27",2,47,5.71428571428571,35.1428571428571
"12","2020-03-28",4,51,5.42857142857143,40.5714285714286
"13","2020-03-29",2,53,5.42857142857143,46
"14","2020-03-30",10,63,6,52
"15","2020-03-31",4,67,5.42857142857143,57.4285714285714
"16","2020-04-01",9,76,6,63.4285714285714
"17","2020-04-02",2,78,5.14285714285714,68.5714285714286
"18","2020-04-03",9,87,6,74.5714285714286
"19","2020-04-04",2,89,6,80.5714285714286
"20","2020-04-05",5,94,6.14285714285714,86.7142857142857
"21","2020-04-06",12,106,7.57142857142857,94.2857142857143
"22","2020-04-07",13,119,8,102.285714285714
"23","2020-04-08",9,128,8.71428571428571,111
"24","2020-04-09",11,139,9,120
"25","2020-04-10",4,143,9.28571428571429,129.285714285714
"26","2020-04-11",6,149,8.85714285714286,138.142857142857
"27","2020-04-12",7,156,9.57142857142857,147.714285714286
"28","2020-04-13",18,174,11.4285714285714,159.142857142857
"29","2020-04-14",18,192,12.2857142857143,171.428571428571
"30","2020-04-15",27,219,14.2857142857143,185.714285714286
"31","2020-04-16",12,231,14.7142857142857,200.428571428571
"32","2020-04-17",15,246,15.2857142857143,215.714285714286
"33","2020-04-18",6,252,15.5714285714286,231.285714285714
"34","2020-04-19",7,259,15.7142857142857,247
"35","2020-04-20",26,285,18.4285714285714,265.428571428571
"36","2020-04-21",20,305,18.7142857142857,284.142857142857
"37","2020-04-22",22,327,19.2857142857143,303.428571428571
"38","2020-04-23",34,361,20.2857142857143,323.714285714286
"39","2020-04-24",33,394,23.2857142857143,347
"40","2020-04-25",24,418,24.5714285714286,371.571428571429
"41","2020-04-26",20,438,26.5714285714286,398.142857142857
"42","2020-04-27",37,475,30.8571428571429,429
"43","2020-04-28",42,517,33.1428571428571,462.142857142857
"44","2020-04-29",31,548,34.7142857142857,496.857142857143
"45","2020-04-30",60,608,40.1428571428571,537
"46","2020-05-01",26,634,39,576
"47","2020-05-02",28,662,38.2857142857143,614.285714285714
"48","2020-05-03",30,692,39.1428571428571,653.428571428571
"49","2020-05-04",49,741,43.2857142857143,696.714285714286
"50","2020-05-05",44,785,44.2857142857143,741
"51","2020-05-06",34,819,43.1428571428571,784.142857142857
"52","2020-05-07",37,856,44,828.142857142857
"53","2020-05-08",36,892,40.5714285714286,868.714285714286
"54","2020-05-09",19,911,39.5714285714286,908.285714285714
"55","2020-05-10",27,938,39.4285714285714,947.714285714286
"56","2020-05-11",45,983,41.5714285714286,989.285714285714
"57","2020-05-12",52,1035,42,1031.28571428571
"58","2020-05-13",59,1094,44.1428571428571,1075.42857142857
"59","2020-05-14",58,1152,47.5714285714286,1123
"60","2020-05-15",42,1194,48.2857142857143,1171.28571428571
"61","2020-05-16",32,1226,47.7142857142857,1219
"62","2020-05-17",49,1275,52,1271
"63","2020-05-18",54,1329,55.8571428571429,1326.85714285714
"64","2020-05-19",52,1381,56.8571428571429,1383.71428571429
"65","2020-05-20",57,1438,57.5714285714286,1441.28571428571
"66","2020-05-21",70,1508,59.1428571428571,1500.42857142857
"67","2020-05-22",61,1569,59.5714285714286,1560
"68","2020-05-23",34,1603,58.4285714285714,1618.42857142857
"69","2020-05-24",30,1633,58.1428571428571,1676.57142857143
"70","2020-05-25",53,1686,58.7142857142857,1735.28571428571
"71","2020-05-26",57,1743,59.1428571428571,1794.42857142857
"72","2020-05-27",61,1804,60.4285714285714,1854.85714285714
"73","2020-05-28",60,1864,60.8571428571429,1915.71428571429
"74","2020-05-29",46,1910,57.4285714285714,1973.14285714286
"75","2020-05-30",29,1939,52.8571428571429,2026
"76","2020-05-31",25,1964,51.5714285714286,2077.57142857143
"77","2020-06-01",58,2022,55.5714285714286,2133.14285714286
"78","2020-06-02",48,2070,54.8571428571429,2188
"79","2020-06-03",50,2120,53.8571428571429,2241.85714285714
"80","2020-06-04",44,2164,51.4285714285714,2293.28571428571
"81","2020-06-05",34,2198,47.7142857142857,2341
