"","FECHA_INGRESO","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-03-11",1,1,0,0
"2","2020-03-13",4,5,0,0
"3","2020-03-14",1,6,0,0
"4","2020-03-16",1,7,0,0
"5","2020-03-18",1,8,0,0
"6","2020-03-19",4,12,0,0
"7","2020-03-20",3,15,0,0
"8","2020-03-21",3,18,2.57142857142857,10.2857142857143
"9","2020-03-23",5,23,3.14285714285714,13.4285714285714
"10","2020-03-24",11,34,4.14285714285714,17.5714285714286
"11","2020-03-25",2,36,4.28571428571429,21.8571428571429
"12","2020-03-26",9,45,5.42857142857143,27.2857142857143
"13","2020-03-27",5,50,6,33.2857142857143
"14","2020-03-28",8,58,6.57142857142857,39.8571428571429
"15","2020-03-29",3,61,6.57142857142857,46.4285714285714
"16","2020-03-30",10,71,7.57142857142857,54
"17","2020-03-31",14,85,8.85714285714286,62.8571428571429
"18","2020-04-01",12,97,9,71.8571428571429
"19","2020-04-02",14,111,10.7142857142857,82.5714285714286
"20","2020-04-03",10,121,10.8571428571429,93.4285714285714
"21","2020-04-04",9,130,11.4285714285714,104.857142857143
"22","2020-04-05",4,134,10.8571428571429,115.714285714286
"23","2020-04-06",15,149,12.5714285714286,128.285714285714
"24","2020-04-07",11,160,12.7142857142857,141
"25","2020-04-08",16,176,13,154
"26","2020-04-09",6,182,12.1428571428571,166.142857142857
"27","2020-04-10",7,189,11.1428571428571,177.285714285714
"28","2020-04-11",8,197,10.8571428571429,188.142857142857
"29","2020-04-12",4,201,10.1428571428571,198.285714285714
"30","2020-04-13",17,218,12,210.285714285714
"31","2020-04-14",10,228,11.2857142857143,221.571428571429
"32","2020-04-15",16,244,12,233.571428571429
"33","2020-04-16",9,253,11,244.571428571429
"34","2020-04-17",13,266,12,256.571428571429
"35","2020-04-18",13,279,12.8571428571429,269.428571428571
"36","2020-04-19",10,289,13.1428571428571,282.571428571429
"37","2020-04-20",16,305,14.8571428571429,297.428571428571
"38","2020-04-21",11,316,14,311.428571428571
"39","2020-04-22",10,326,14,325.428571428571
"40","2020-04-23",18,344,14.2857142857143,339.714285714286
"41","2020-04-24",17,361,15.4285714285714,355.142857142857
"42","2020-04-25",23,384,16.8571428571429,372
"43","2020-04-26",13,397,16.8571428571429,388.857142857143
"44","2020-04-27",18,415,18,406.857142857143
"45","2020-04-28",21,436,18.7142857142857,425.571428571429
"46","2020-04-29",23,459,20.4285714285714,446
"47","2020-04-30",16,475,21.2857142857143,467.285714285714
"48","2020-05-01",17,492,21.1428571428571,488.428571428571
"49","2020-05-02",22,514,21.8571428571429,510.285714285714
"50","2020-05-03",21,535,21.5714285714286,531.857142857143
"51","2020-05-04",17,552,22.1428571428571,554
"52","2020-05-05",17,569,22,576
"53","2020-05-06",25,594,22.5714285714286,598.571428571429
"54","2020-05-07",35,629,24.2857142857143,622.857142857143
"55","2020-05-08",26,655,25.7142857142857,648.571428571429
"56","2020-05-09",26,681,27,675.571428571429
"57","2020-05-10",21,702,26.8571428571429,702.428571428571
"58","2020-05-11",40,742,29.5714285714286,732
"59","2020-05-12",45,787,33.5714285714286,765.571428571429
"60","2020-05-13",59,846,39.5714285714286,805.142857142857
"61","2020-05-14",74,920,46.5714285714286,851.714285714286
"62","2020-05-15",73,993,52,903.714285714286
"63","2020-05-16",45,1038,54.7142857142857,958.428571428571
"64","2020-05-17",43,1081,57.1428571428571,1015.57142857143
"65","2020-05-18",95,1176,67.7142857142857,1083.28571428571
"66","2020-05-19",87,1263,74.4285714285714,1157.71428571429
"67","2020-05-20",70,1333,78,1235.71428571429
"68","2020-05-21",105,1438,84.5714285714286,1320.28571428571
"69","2020-05-22",119,1557,91,1411.28571428571
"70","2020-05-23",91,1648,93.5714285714286,1504.85714285714
"71","2020-05-24",45,1693,93.5714285714286,1598.42857142857
"72","2020-05-25",109,1802,103,1701.42857142857
"73","2020-05-26",111,1913,105.285714285714,1806.71428571429
"74","2020-05-27",119,2032,109.857142857143,1916.57142857143
"75","2020-05-28",108,2140,115.285714285714,2031.85714285714
"76","2020-05-29",94,2234,113.714285714286,2145.57142857143
"77","2020-05-30",82,2316,108.428571428571,2254
"78","2020-05-31",39,2355,101,2355
"79","2020-06-01",128,2483,112.857142857143,2467.85714285714
"80","2020-06-02",123,2606,114.857142857143,2582.71428571429
"81","2020-06-03",135,2741,118.285714285714,2701
"82","2020-06-04",135,2876,120.571428571429,2821.57142857143
"83","2020-06-05",131,3007,123.857142857143,2945.42857142857
"84","2020-06-06",84,3091,122.428571428571,3067.85714285714
"85","2020-06-07",65,3156,120,3187.85714285714
"86","2020-06-08",219,3375,145.714285714286,3333.57142857143
"87","2020-06-09",161,3536,150.428571428571,3484
"88","2020-06-10",184,3720,159.142857142857,3643.14285714286
"89","2020-06-11",210,3930,169.857142857143,3813
"90","2020-06-12",226,4156,182.857142857143,3995.85714285714
"91","2020-06-13",111,4267,180,4175.85714285714
"92","2020-06-14",105,4372,183,4358.85714285714
"93","2020-06-15",286,4658,214.571428571429,4573.42857142857
"94","2020-06-16",266,4924,221.285714285714,4794.71428571429
"95","2020-06-17",280,5204,238.285714285714,5033
"96","2020-06-18",345,5549,261.285714285714,5294.28571428571
"97","2020-06-19",310,5859,275.571428571429,5569.85714285714
"98","2020-06-20",168,6027,267.285714285714,5837.14285714286
"99","2020-06-21",112,6139,267.428571428571,6104.57142857143
"100","2020-06-22",342,6481,301.285714285714,6405.85714285714
"101","2020-06-23",265,6746,298.285714285714,6704.14285714286
"102","2020-06-24",230,6976,293.142857142857,6997.28571428571
"103","2020-06-25",304,7280,296.571428571429,7293.85714285714
"104","2020-06-26",238,7518,281.285714285714,7575.14285714286
"105","2020-06-27",130,7648,255.571428571429,7830.71428571429
"106","2020-06-28",75,7723,242.285714285714,8073
"107","2020-06-29",207,7930,255.857142857143,8328.85714285714
"108","2020-06-30",239,8169,241.142857142857,8570
"109","2020-07-01",201,8370,232,8802
"110","2020-07-02",157,8527,221.571428571429,9023.57142857143
"111","2020-07-03",154,8681,200.142857142857,9223.71428571429
"112","2020-07-04",88,8769,178.714285714286,9402.42857142857
"113","2020-07-05",65,8834,169.428571428571,9571.85714285714
"114","2020-07-06",187,9021,185.428571428571,9757.28571428571
"115","2020-07-07",161,9182,178.857142857143,9936.14285714286
"116","2020-07-08",55,9237,152.571428571429,10088.7142857143
"117","2020-07-09",12,9249,125.571428571429,10214.2857142857
"118","2020-07-10",7,9256,104.142857142857,10318.4285714286
"119","2020-07-11",1,9257,82.2857142857143,10400.7142857143
