"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,2.21101665956953,0.52114162443268,1.3103885993758,1.42909117182733,1.84085801736755,2.17020945041369,2.53674950124502,3.13217902885497,3.34338230893936
"2",3,9,1.92890567324012,0.420921726478696,1.19402301350051,1.29255277957386,1.63083968730405,1.89837602949973,2.19372837595643,2.66942347700593,2.83717939874542
"3",4,10,1.46797856994493,0.328249987190979,0.896679447534275,0.972877224922953,1.23531479012418,1.44358608190548,1.67408326097308,2.04630631685311,2.17780885975308
"4",5,11,1.54161930446538,0.321449845969674,0.977254397388491,1.05362960904643,1.3143883057852,1.5193354774497,1.74458333442776,2.10563816779259,2.23255058162735
"5",6,12,1.5477149735118,0.30353187890063,1.01101880576344,1.08450451524806,1.33363931264568,1.5279183359972,1.74022958743261,2.07846692674345,2.19685828402684
"6",7,13,1.35917945370503,0.266557021419858,0.887861144733303,0.952395163064733,1.17118150526667,1.34179435152356,1.52824282277317,1.82527764503378,1.92924711167964
"7",8,14,1.45658070807202,0.265934036879297,0.982748887137261,1.04844578508496,1.26950273978972,1.44042883696929,1.62606506746391,1.91982057829705,2.02216310422243
"8",9,15,1.43905051202516,0.250506539935187,0.990576157522347,1.05324058864985,1.26311565736847,1.42454104034735,1.5991796083162,1.87436127378029,1.96994904228322
"9",10,16,1.72443898084937,0.2599689578791,1.25298000337173,1.32023899801295,1.54271067490083,1.71139278997053,1.89195295847136,2.17314589733841,2.27001689979549
"10",11,17,2.03637654254595,0.256559328917244,1.56480764822808,1.63353262812584,1.85796462716702,2.02561225702107,2.20305843423708,2.47594139297642,2.56910563608141
"11",12,18,1.71208520424481,0.204633321773152,1.33465440935745,1.38996049252674,1.56998233078831,1.70393935542914,1.84531107315209,2.06199817301164,2.13579978175775
"12",13,19,1.54259827704198,0.176948157897524,1.21539198954474,1.2635319540657,1.41985048996769,1.53583779595964,1.6579785775244,1.84472676239827,1.9082173994613
"13",14,20,1.35071378236278,0.15493749681492,1.06420883238595,1.10636064503129,1.24323464782512,1.34479424056813,1.45174187528508,1.61526036930548,1.67085337741935
"14",15,21,1.20228903348881,0.140717287740857,0.942402679415694,0.980563852338076,1.10462425391327,1.19680360808406,1.29397594289388,1.4427268068914,1.4933431820612
"15",16,22,1.35655972413791,0.147139561007793,1.08357172590838,1.12394348216721,1.25463116873723,1.35124360685098,1.4526946503782,1.60731081084707,1.6597542660679
