"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,1.54605747320701,0.515352491069002,0.706955925804093,0.806565736350773,1.17459915802827,1.48918852927362,1.8556889625833,2.4796442294783,2.70786627727289
"2",3,9,1.25152978817275,0.442482600036959,0.540321731568787,0.622764787294092,0.931781112160897,1.19978676627713,1.51504409556349,2.05690701025364,2.25630098003947
"3",4,10,1.40205490869805,0.467351636232684,0.641108783589244,0.731440757821586,1.06519488686928,1.35048284014559,1.68284676611006,2.24868572094755,2.45565075810092
"4",5,11,1.31706835038136,0.439022783460452,0.602247517396433,0.687103954580737,1.00062733904362,1.26862235954836,1.58083980907948,2.1123800320807,2.30679973588769
"5",6,12,1.53855074908889,0.463890505058916,0.76803899057995,0.862848253293998,1.20563769769088,1.49218755782672,1.82103321430942,2.37247591921181,2.57222691495071
"6",7,13,1.98818073727742,0.497045184319356,1.13641707683531,1.24708099095357,1.63429119155241,1.94691723206446,2.29715533949918,2.87007927971912,3.07425166226972
"7",8,14,2.12399184812013,0.452836583552689,1.33109438310646,1.43791723854127,1.80361330638091,2.09189828204082,2.40942234038068,2.9195661379082,3.09916774544178
"8",9,15,1.95248443114149,0.375755803969365,1.28669954307121,1.37817263594417,1.68765254578685,1.92843330744745,2.19112069464664,2.60885243005369,2.75488495965529
"9",10,16,1.76066100683144,0.316224051898727,1.19628373250073,1.27474763587602,1.5383326093193,1.74176578530991,1.9624070374051,2.311038389346,2.43237393372441
"10",11,17,1.83602577450839,0.293999417610583,1.30559380846701,1.3806429998586,1.63011654420706,1.82035731451738,2.02486480394929,2.34486213006043,2.45547116107097
"11",12,18,1.63849063838198,0.249867479856608,1.18578379931825,1.25026891695613,1.46376121580355,1.62580681366824,1.79940071930166,2.06998320368627,2.16325722843401
"12",13,19,1.49631975080906,0.220620311092497,1.0954941192538,1.15284233870905,1.34220296187581,1.48549093343765,1.6386378465977,1.87673936284983,1.95866760677698
"13",14,20,1.33207480929175,0.196403715626637,0.975246179298378,1.02629951763249,1.19487479431105,1.32243462722032,1.45877122575213,1.67073730565059,1.74367261900581
"14",15,21,1.18997944135154,0.1793961506909,0.86464088378619,0.911054135723697,1.06457462831265,1.18097668793077,1.30557540718329,1.49961753915841,1.5664650777882
"15",16,22,1.21226296792278,0.178738423364676,0.887528853128151,0.933990261316017,1.0874032406767,1.20348986025067,1.32756382998556,1.52046487977967,1.58684011547787
"16",17,23,1.26680702424495,0.17915356745967,0.940248590782322,0.987215938666956,1.14181395892476,1.25837172663405,1.38260890822389,1.57517462669654,1.64129034664602
"17",18,24,1.1657399510658,0.166534278723685,0.862420833288003,0.905991594386791,1.04951632375018,1.1578194094708,1.27333336428204,1.45250882213067,1.51405915111693
"18",19,25,1.06071898296018,0.156394481778282,0.776579609662609,0.817232915870896,0.951467866328211,1.05304259417854,1.16160618019201,1.33039283025372,1.38847055296448
"19",20,26,1.20359152279423,0.166908113467245,0.898899717941778,0.942826090839537,1.08720904858392,1.19588504675186,1.31157679241307,1.49064703542276,1.55206787117151
"20",21,27,1.32260261890905,0.170747263889502,1.0092851333115,1.05482669660893,1.20378511496579,1.31526212788193,1.43342121712925,1.61541975819085,1.67762666560088
"21",22,28,1.3495830173762,0.164877807345556,1.04590830134356,1.09030781150149,1.23502139855819,1.34287464501996,1.45683424455999,1.63174283570656,1.69137362722915
"22",23,29,1.39088986702733,0.159546009788602,1.0958630175353,1.13926860786154,1.28021383699245,1.38479425239221,1.49492297349708,1.66330521655578,1.72055180178563
"23",24,30,1.31692802986543,0.147237029812698,1.04424202448847,1.0844577750935,1.21485621576699,1.31144491290289,1.41302431910098,1.56810288583668,1.62076919024039
"24",25,31,1.33606550222226,0.142425061085902,1.07156360163157,1.11074061496007,1.23744394610235,1.33100807018247,1.42917529788845,1.5786427466435,1.62930422617533
"25",26,32,1.32342997222197,0.135781050200039,1.07073387807542,1.10828561425277,1.22949354570075,1.31878926602749,1.41230869959981,1.55440504676111,1.60249529422295
"26",27,33,1.30782293567688,0.1294937666409,1.06637330886659,1.10235907153056,1.21830880031676,1.30355149644875,1.39268173966917,1.5278577913201,1.57354378033005
"27",28,34,1.316488682116,0.124955575894807,1.08299966367063,1.11791522605311,1.23019227510477,1.3125373801985,1.39847858589929,1.52854100238717,1.57243005800555
"28",29,35,1.22470911297327,0.115724133618635,1.00842169503439,1.04077610235393,1.144795860943,1.2210660802208,1.30065183514251,1.42106940055606,1.46169724146219
"29",30,36,1.14195441887834,0.108881081702419,0.938547650857047,0.968954137950177,1.06675192407497,1.13849582135968,1.21338741371899,1.32675283294763,1.36501384529037
"30",31,37,1.1541499750951,0.108096049111143,0.952031406177762,0.982286705498616,1.07951853030202,1.15077702742175,1.22510524123636,1.33751918595533,1.37543459533262
"31",32,38,1.12721946590999,0.105113757190315,0.930635275375132,0.96007185573083,1.05465384166534,1.12395385209355,1.19622588832713,1.30550687117001,1.34235982417089
"32",33,39,1.28888521040153,0.11092957677907,1.0806462483339,1.11200903628089,1.21243158299613,1.28570417851611,1.36187171614057,1.4766125777723,1.5152000172559
"33",34,40,1.18003965775371,0.101939900126727,0.988708141426772,1.01751709813587,1.1097765591313,1.17710553739991,1.24710475670658,1.35257114442834,1.38804396100522
"34",35,41,1.27099286665283,0.103431932606254,1.07635618105658,1.10578038356349,1.19978465328499,1.26818824664258,1.33914416639879,1.44577248107748,1.48156663919091
"35",36,42,1.37774336347654,0.103851313501225,1.18171124287192,1.21148789771534,1.30634749559028,1.37513488144228,1.44629603623053,1.55289685048228,1.5885982057015
"36",37,43,1.53991050184093,0.104057508548383,1.34270093301778,1.37284088487575,1.4685059927917,1.53756728552099,1.60876088281395,1.71497322270819,1.75043560609895
"37",38,44,1.51877224162862,0.0956736583213674,1.33702729206806,1.36490318032177,1.45319325494634,1.5167637567398,1.58216192970135,1.67949256052572,1.71193067200749
"38",39,45,1.53384347689465,0.0894555681830555,1.3635063057563,1.38972733116443,1.47259630433853,1.53210477629585,1.59319539702969,1.68389058616031,1.71406111497219
"39",40,46,1.27254881301383,0.0757791790464944,1.12834354461468,1.1505208464528,1.22064985048292,1.27104493469906,1.32280849431265,1.39970673360557,1.42530011442256
"40",41,47,1.15770719963229,0.0700676271986359,1.02443679551044,1.04491696919818,1.10970853466492,1.15629394497592,1.20416537066116,1.27531825615796,1.29900864119136
"41",42,48,1.15065171436767,0.0690115037792613,1.01935359383673,1.03953923177511,1.10338282062097,1.14927233053552,1.19641703214233,1.26646948292215,1.28978840270209
"42",43,49,1.11892802256186,0.0671088431829997,0.991249816778715,1.01087893274884,1.07296234141937,1.11758666861054,1.16343158161462,1.23155267268669,1.25422868530793
"43",44,50,1.13394842076354,0.0668185514864727,1.00675464814569,1.02632519970383,1.08819329029465,1.1326362508536,1.17827323652934,1.2460476480746,1.26859881919656
"44",45,51,1.07781927125369,0.0641832035838833,0.955680760174646,0.974464419442639,1.03386205609476,1.07654552127042,1.12038805330508,1.18551907491131,1.20719607368651
"45",46,52,1.01513453106746,0.0618938447301937,0.89743770842384,0.915518341918376,0.972730556730785,1.01387689711608,1.05616764490563,1.11904070168062,1.13997804756875
"46",47,53,0.973451805435547,0.0608407378397217,0.857847566541744,0.875585661903876,0.931753847342178,0.972184583888794,1.01376845841907,1.07564063941715,1.09625720390359
"47",48,54,1.00386025250828,0.0623768410198978,0.885315330816351,0.903509771715021,0.961113270946065,1.00256857909106,1.04519927426595,1.1086168318631,1.12974528907984
"48",49,55,1.09425194836387,0.0652775984774458,0.970037521891979,0.989138869637079,1.04954406045711,1.09295417744465,1.13754521990472,1.20379191823503,1.2258411678835
"49",50,56,1.08598765628191,0.0641038244739229,0.963967911914349,0.982740876324503,1.04209038250065,1.084726607341,1.12851033953818,1.19353606155045,1.21517352187653
"50",51,57,0.970608698440154,0.0598502963036425,0.856837913275274,0.874306048058427,0.929597885238096,0.969378800218562,1.01027888664972,1.07110672132215,1.09136855749726
"51",52,58,1.08129235633254,0.0637157631339932,0.960004957729199,0.978666730541384,1.03766191253714,1.0800411183857,1.12355890356327,1.18818614040838,1.20969012464084
"52",53,59,1.08316549433368,0.0630643332574269,0.963075266748315,0.981562891918857,1.03998854247854,1.08194182468402,1.12500859750888,1.18894221369671,1.21020943740805
"53",54,60,1.09963117772249,0.0627592662096762,0.980052181286802,0.998477454170489,1.0566751632113,1.09843745495719,1.14128598277355,1.20485686220105,1.22599372266205
"54",55,61,1.04837084958666,0.0604270911902198,0.933268532787649,0.950996268198443,1.00700538044907,1.04721009188836,1.08847104455625,1.14970494462621,1.17006937942408
"55",56,62,0.969260309754118,0.0578212224477711,0.859234356720094,0.876153840628548,0.929659209344156,0.968110777559975,1.00760837927019,1.06628800551151,1.08581866531621
"56",57,63,1.03609316117885,0.0603236760625569,0.921221828795662,0.938906016582147,0.994792598363957,1.03492266990842,1.07611784186626,1.13727302345963,1.15761601366736
"57",58,64,1.04906728956953,0.0604672333234829,0.93388850950795,0.951628021575592,1.00767434106562,1.04790576077188,1.08919412337509,1.15046870154701,1.17084666457931
"58",59,65,0.941498003213364,0.0568779744567439,0.833308572052041,0.849935881566868,0.902535738974378,0.94035287655929,0.97921204143781,1.03696632537673,1.05619479420983
"59",60,66,0.901515587008913,0.056344724188057,0.794454279294316,0.81088156348396,0.862899027917117,0.900342010700139,0.938852916785,0.996152862463406,1.0152459024386
"60",61,67,0.965420497792696,0.0594175242476563,0.852465658684702,0.869810089022495,0.924707385832377,0.964201806513559,1.0048052002026,1.06518805014355,1.08530072699183
"61",62,68,0.975717541096253,0.0600512634541131,0.861557941086351,0.879087364751582,0.934570188638828,0.974485851422215,1.01552231536825,1.07654920054779,1.09687639646308
"62",63,69,1.02175627492539,0.0616142216567043,0.904551323815982,0.922565736863912,0.979550739741939,1.02051804970588,1.062612103148,1.1251705865251,1.14599763409252
"63",64,70,0.975276474244073,0.0599107575691167,0.861377243654757,0.87886826542353,0.934226555921711,0.97404998608997,1.01498948373957,1.07586842267589,1.09614540306125
"64",65,71,0.916137370507456,0.0582924249646589,0.805438888598807,0.822409348782986,0.876175008318749,0.914901314840143,0.954752403758899,1.01408177411722,1.03385989494606
"65",66,72,0.932302288464622,0.0596845380846545,0.818982691309286,0.8363497027587,0.891381703353783,0.931028961244402,0.971834919428055,1.0325983963548,1.05285772389206
"66",67,73,0.956862531423605,0.061131704725306,0.840787540895655,0.858578647577352,0.914951073542669,0.955560992994013,0.997355283768631,1.05958617000232,1.08033367545365
"67",68,74,0.912225463643842,0.0600200289989927,0.798372177440985,0.815796820930607,0.871057204550225,0.910909459203466,0.951959257327809,1.01314321271609,1.03355708478843
"68",69,75,0.929004416165432,0.0613903398107039,0.812568810538463,0.830384675444414,0.886893339471515,0.9276525040395,0.96964188882961,1.03223575113764,1.05312240228546
"69",70,76,0.886295591568031,0.0605859193579905,0.771519388762783,0.789050100424943,0.844713553510803,0.884915451776071,0.926373267923449,0.988248973642298,1.00891455104769
"70",71,77,0.904666346518638,0.0622797997164204,0.786710440305349,0.804719979007829,0.861916779213406,0.903237575852654,0.945858546589727,1.00948649480067,1.0307413514617
"71",72,78,0.986962048802385,0.0659441757208391,0.861936309034076,0.881055593463305,0.941719251234273,0.985493744454151,1.03060437680453,1.0978771339079,1.12033156959052
"72",73,79,0.983921922392581,0.0657410487308753,0.859281297790388,0.878341689335539,0.938818485627559,0.982458140843205,1.0274298194973,1.09449535719869,1.11688062677404
