"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,1.91942875526991,0.350438142261797,1.29503052095037,1.3816034889665,1.67290425456181,1.89814441058912,2.14276904199929,2.52986930454393,2.66473254010617
"2",3,9,1.53946707024717,0.281066946970256,1.0386719676333,1.10810733118534,1.34174347680446,1.52239608094481,1.71859589487036,2.02906748983597,2.13723379169272
"3",4,10,1.64353252206542,0.273922087010903,1.15110997292584,1.22037615181483,1.45143363328511,1.62833993301273,1.81908050150736,2.11851959293442,2.2222626608971
"4",5,11,1.52776400244341,0.244638029161135,1.08638955404806,1.14883827051624,1.35642615185718,1.51472621752757,1.68489767422611,1.95116866153926,2.04320685526685
"5",6,12,1.20857719600599,0.204286831874464,0.841818299373641,0.893298736968425,1.06524563749604,1.19708662904146,1.33939109149306,1.56305677981534,1.64061219292002
"6",7,13,1.24518361481141,0.20470692528422,0.876724177341072,0.928658462936425,1.10168951117791,1.23398388865428,1.37647644125938,1.59991735633485,1.67726820134388
"7",8,14,1.48355094080898,0.218737652768314,1.0861457455139,1.14300458526426,1.33074930393107,1.47281453090026,1.62465456841746,1.86072425088533,1.94195336203702
"8",9,15,1.53425053896514,0.20878505322526,1.1525762249127,1.20772369528655,1.38874751831367,1.52479032007119,1.66944524962436,1.89305011006384,1.96967382317693
"9",10,16,1.37844337294124,0.184202243879113,1.041261310149,1.09008264749033,1.25013892524046,1.37024709211749,1.49781661750078,1.69476491345331,1.76219363825584
"10",11,17,1.21164288618902,0.164883712313122,0.910223427164651,0.953775010477031,1.09673486079554,1.20417187240506,1.31841013525325,1.49499748626798,1.55550949167324
"11",12,18,1.16661488877052,0.158756177990085,0.876397009665069,0.918330095808593,1.05597716309139,1.15942151850118,1.26941437186176,1.43943924900216,1.49770246109196
"12",13,19,1.17825649620338,0.157451147233349,0.890042294817295,0.931773467098251,1.06858528883804,1.17125053475813,1.28029355019933,1.44863968155118,1.50627595054043
"13",14,20,1.31971821268795,0.163690898243295,1.01853065484914,1.06249732860549,1.20593525728739,1.31295663174454,1.42613287343875,1.60000527727404,1.65932376130622
"14",15,21,1.10033673657779,0.143251641447257,0.837627305443619,0.875777473033582,1.00062928147324,1.09412642744787,1.19327688653396,1.34608176622662,1.39833123230067
"15",16,22,0.939117504783075,0.131502753850982,0.699234666463491,0.733777431143054,0.847396569409928,0.932986665070179,1.02415815572678,1.16537253156509,1.21383269937627
"16",17,23,1.09782466700263,0.145410429382914,0.831481681912146,0.870084901115515,0.996565687983206,1.09141135701759,1.19209523218964,1.34744278080546,1.40060582739279
