"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,1.334047092725,0.31443791522935,0.790640854636361,0.862261672594724,1.11070682147951,1.30942550586317,1.53058245059375,1.88984298659773,2.01727536959272
"2",3,9,0.915336263489874,0.253868602484951,0.487378009936142,0.541426912405711,0.733798013238372,0.891976111666128,1.07145620770643,1.36896067408363,1.47591530267873
"3",4,10,0.769901974420754,0.243464381423028,0.369197922526732,0.417703055822419,0.59481754780076,0.744396247197921,0.917249357490957,1.20914771320919,1.31536239098381
"4",5,11,0.881726573677275,0.278826424631646,0.422822164449158,0.478372437610547,0.681211966991087,0.852516260909528,1.05047546318694,1.38477066647319,1.50641252091695
"5",6,12,1.32955761244171,0.355339218695288,0.726881518853823,0.803806611706212,1.07585692136372,1.29803898666319,1.54895808039176,1.96286095377803,2.11118515147008
"6",7,13,1.04162970980814,0.300692596676821,0.538225270928492,0.60103878926463,0.82624032616133,1.01284281042017,1.22570087107249,1.58045731545803,1.70844967208695
"7",8,14,1.05086860169032,0.303359635034415,0.542999141181559,0.606369793496482,0.833568789405244,1.02182637255458,1.23657240989391,1.59447542009197,1.72360302424072
"8",9,15,1.06548704875736,0.30757961720906,0.55055270609923,0.614804896339046,0.84516441725544,1.0360408183139,1.25377414975893,1.6166558853669,1.74757976075556
"9",10,16,1.42622239893291,0.356555599733228,0.815209331386973,0.894594142893183,1.17235956473587,1.396622003813,1.64786547701318,2.05885273843566,2.20531589431349
"10",11,17,1.50961442886964,0.346329302060717,0.908886500897239,0.988555292202523,1.26388754911604,1.48321416179724,1.72659794383407,2.12075166285744,2.26027101941498
"11",12,18,1.52172792642467,0.324433484012077,0.953658789826742,1.0301917211746,1.29219363022514,1.49873458216835,1.72622379184451,2.09171486652874,2.220389928091
"12",13,19,1.38930918219449,0.289690990069398,0.88070284518305,0.9495322783259,1.18452833128585,1.36922697032957,1.5722206115371,1.89760366416008,2.01197728504326
"13",14,20,1.48806074139667,0.286377423205294,0.980641405113741,1.05035643906093,1.28622254725757,1.46973048872743,1.66993428135007,1.98830311747509,2.09959992005187
"14",15,21,1.51252042435011,0.271656687637068,1.02768424569214,1.09508975758165,1.32152610980269,1.49628822044314,1.6858331691603,1.98532980044446,2.08956479421096
"15",16,22,1.54041618895522,0.256736031492537,1.07888856092389,1.14380893327744,1.36036971333962,1.52617679313268,1.70495017038865,1.98560225232045,2.08283641059604
"16",17,23,1.37773796543063,0.226498726288939,0.970054673034445,1.02751755330458,1.21896838957072,1.365345987456,1.52300739351691,1.77023441133842,1.85581953674439
"17",18,24,1.32911605683621,0.21282890037388,0.945131445665074,0.99946025014923,1.18005645863011,1.31777351358378,1.46581837859663,1.69746740563323,1.77753830724492
"18",19,25,1.48840903490411,0.217106771221678,1.09362697462389,1.15018815601965,1.33679619910062,1.47786635552641,1.62853481630828,1.862595876074,1.94308802771171
"19",20,26,1.70162880964879,0.217871243591359,1.30161120792097,1.35980737695313,1.55005382727279,1.69233937887241,1.84308106799641,2.07513999193008,2.15442647286014
"20",21,27,1.65850823889406,0.195457070395958,1.29768055333243,1.35062785289816,1.52282723502231,1.65083631166428,1.78582861912917,1.99256012062445,2.06292715983939
"21",22,28,1.38972252897617,0.163780370701128,1.08737228919822,1.13173869831779,1.27603063199746,1.38329395065388,1.49640876463125,1.66963637866387,1.72859940181989
"22",23,29,1.33766834053665,0.153441082009816,1.05393050799552,1.09567521069136,1.23122725922347,1.33180597076403,1.43772068557939,1.59965988794741,1.6547159685769
"23",24,30,1.46794254833742,0.154734730900602,1.18039915870617,1.22303079157309,1.36082581541818,1.46250931842183,1.56913792804082,1.73138859277648,1.78635818102162
"24",25,31,1.45831908921961,0.145108172896667,1.18782484915505,1.22812334906819,1.35800017557236,1.45350898901853,1.553395610889,1.70492334197329,1.75614529849577
"25",26,32,1.31785444710768,0.129852057109421,1.07567551286098,1.11178415932851,1.2281024619586,1.31359200842574,1.4029608998545,1.53846501600088,1.58425348556085
"26",27,33,1.28118610679221,0.123282190606415,1.05098179597693,1.08536958588916,1.19601989517324,1.27723400572516,1.36204496977493,1.49048423549404,1.53384724448806
"27",28,34,1.32330127134182,0.121306828655457,1.09624538247382,1.13028829483171,1.23958711895518,1.31959639662302,1.40297744218896,1.52895244848729,1.57140941447343
