"","FECHA_INGRESO","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-03-08",1,1,0,0
"2","2020-03-12",1,2,0,0
"3","2020-03-14",1,3,0,0
"4","2020-03-23",1,4,0,0
"5","2020-03-26",1,5,0,0
"6","2020-03-27",3,8,0,0
"7","2020-03-29",1,9,0,0
"8","2020-04-02",2,11,1.57142857142857,6.14285714285714
"9","2020-04-03",1,12,1.57142857142857,7.71428571428571
"10","2020-04-05",3,15,1.85714285714286,9.57142857142857
"11","2020-04-06",2,17,2,11.5714285714286
"12","2020-04-09",2,19,2.14285714285714,13.7142857142857
"13","2020-04-10",1,20,2.14285714285714,15.8571428571429
"14","2020-04-11",5,25,2.42857142857143,18.2857142857143
"15","2020-04-12",2,27,2.57142857142857,20.8571428571429
"16","2020-04-13",2,29,2.57142857142857,23.4285714285714
"17","2020-04-14",4,33,3,26.4285714285714
"18","2020-04-15",3,36,3,29.4285714285714
"19","2020-04-16",4,40,3.28571428571429,32.7142857142857
"20","2020-04-17",3,43,3.42857142857143,36.1428571428571
"21","2020-04-18",6,49,4.14285714285714,40.2857142857143
"22","2020-04-19",2,51,3.71428571428571,44
"23","2020-04-20",5,56,4.14285714285714,48.1428571428571
"24","2020-04-21",7,63,4.85714285714286,53
"25","2020-04-22",6,69,5.14285714285714,58.1428571428571
"26","2020-04-23",7,76,5.71428571428571,63.8571428571429
"27","2020-04-24",4,80,5.71428571428571,69.5714285714286
"28","2020-04-25",6,86,6.14285714285714,75.7142857142857
"29","2020-04-26",8,94,6.42857142857143,82.1428571428571
"30","2020-04-27",4,98,6.71428571428571,88.8571428571429
"31","2020-04-28",6,104,6.85714285714286,95.7142857142857
"32","2020-04-29",8,112,7,102.714285714286
"33","2020-04-30",8,120,7.28571428571429,110
"34","2020-05-01",6,126,7.14285714285714,117.142857142857
"35","2020-05-02",11,137,8.14285714285714,125.285714285714
"36","2020-05-03",11,148,8.85714285714286,134.142857142857
"37","2020-05-04",18,166,10.2857142857143,144.428571428571
"38","2020-05-05",9,175,11,155.428571428571
"39","2020-05-06",16,191,12.4285714285714,167.857142857143
"40","2020-05-07",11,202,12.8571428571429,180.714285714286
"41","2020-05-08",14,216,13.7142857142857,194.428571428571
"42","2020-05-09",13,229,14.7142857142857,209.142857142857
"43","2020-05-10",7,236,14.1428571428571,223.285714285714
"44","2020-05-11",24,260,16,239.285714285714
"45","2020-05-12",20,280,16.2857142857143,255.571428571429
"46","2020-05-13",16,296,17.2857142857143,272.857142857143
"47","2020-05-14",12,308,16.7142857142857,289.571428571429
"48","2020-05-15",15,323,17.2857142857143,306.857142857143
"49","2020-05-16",15,338,17.4285714285714,324.285714285714
"50","2020-05-17",15,353,17.7142857142857,342
"51","2020-05-18",17,370,19.1428571428571,361.142857142857
"52","2020-05-19",21,391,18.7142857142857,379.857142857143
"53","2020-05-20",24,415,19.2857142857143,399.142857142857
"54","2020-05-21",16,431,19.2857142857143,418.428571428571
"55","2020-05-22",25,456,21.1428571428571,439.571428571429
"56","2020-05-23",17,473,21.4285714285714,461
"57","2020-05-24",14,487,21.2857142857143,482.285714285714
"58","2020-05-25",34,521,24,506.285714285714
"59","2020-05-26",35,556,26.5714285714286,532.857142857143
"60","2020-05-27",29,585,27.7142857142857,560.571428571429
"61","2020-05-28",29,614,28.4285714285714,589
"62","2020-05-29",20,634,29,618
"63","2020-05-30",19,653,28.1428571428571,646.142857142857
"64","2020-05-31",8,661,26.8571428571429,673
"65","2020-06-01",39,700,30.4285714285714,703.428571428571
"66","2020-06-02",24,724,29,732.428571428571
"67","2020-06-03",19,743,26.7142857142857,759.142857142857
"68","2020-06-04",39,782,28.1428571428571,787.285714285714
"69","2020-06-05",40,822,29.7142857142857,817
"70","2020-06-06",24,846,30.2857142857143,847.285714285714
"71","2020-06-07",23,869,30.8571428571429,878.142857142857
"72","2020-06-08",42,911,35.7142857142857,913.857142857143
"73","2020-06-09",59,970,38.5714285714286,952.428571428571
"74","2020-06-10",69,1039,45,997.428571428571
"75","2020-06-11",75,1114,53,1050.42857142857
"76","2020-06-12",36,1150,52.5714285714286,1103
"77","2020-06-13",27,1177,50.7142857142857,1153.71428571429
