"","FECHA_INGRESO","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-01-13",1,1,0,0
"2","2020-01-28",1,2,0,0
"3","2020-01-29",1,3,0,0
"4","2020-02-12",1,4,0,0
"5","2020-02-27",4,8,0,0
"6","2020-02-28",2,10,0,0
"7","2020-02-29",1,11,0,0
"8","2020-03-02",2,13,1.85714285714286,7.42857142857143
"9","2020-03-04",2,15,2,9.42857142857143
"10","2020-03-05",1,16,2,11.4285714285714
"11","2020-03-07",1,17,2,13.4285714285714
"12","2020-03-08",4,21,2.42857142857143,15.8571428571429
"13","2020-03-09",1,22,2,17.8571428571429
"14","2020-03-10",9,31,3,20.8571428571429
"15","2020-03-11",27,58,6.71428571428571,27.5714285714286
"16","2020-03-12",28,86,10.4285714285714,38
"17","2020-03-13",60,146,18.7142857142857,56.7142857142857
"18","2020-03-14",50,196,25.7142857142857,82.4285714285714
"19","2020-03-15",36,232,30.7142857142857,113.142857142857
"20","2020-03-16",68,300,39.8571428571429,153
"21","2020-03-17",93,393,53,206
"22","2020-03-18",102,495,66.2857142857143,272.285714285714
"23","2020-03-19",109,604,78,350.285714285714
"24","2020-03-20",100,704,88.2857142857143,438.571428571429
"25","2020-03-21",66,770,89.1428571428571,527.714285714286
"26","2020-03-22",48,818,88.8571428571429,616.571428571429
"27","2020-03-23",129,947,102.142857142857,718.714285714286
"28","2020-03-24",164,1111,115.857142857143,834.571428571429
"29","2020-03-25",140,1251,122.571428571429,957.142857142857
"30","2020-03-26",172,1423,132.571428571429,1089.71428571429
"31","2020-03-27",211,1634,147.142857142857,1236.85714285714
"32","2020-03-28",159,1793,155.571428571429,1392.42857142857
"33","2020-03-29",142,1935,166.428571428571,1558.85714285714
"34","2020-03-30",312,2247,204.142857142857,1763
"35","2020-03-31",278,2525,225.428571428571,1988.42857142857
"36","2020-04-01",325,2850,248.428571428571,2236.85714285714
"37","2020-04-02",303,3153,271.714285714286,2508.57142857143
"38","2020-04-03",337,3490,295.285714285714,2803.85714285714
