"","FECHA_INGRESO","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-03-18",2,2,0,0
"2","2020-03-19",1,3,0,0
"3","2020-03-20",2,5,0,0
"4","2020-03-23",2,7,0,0
"5","2020-03-24",11,18,0,0
"6","2020-03-25",2,20,0,0
"7","2020-03-26",4,24,0,0
"8","2020-03-27",7,31,4.42857142857143,15.7142857142857
"9","2020-03-28",1,32,4.28571428571429,20
"10","2020-03-29",8,40,5.28571428571429,25.2857142857143
"11","2020-03-30",5,45,5.71428571428571,31
"12","2020-03-31",7,52,6.42857142857143,37.4285714285714
"13","2020-04-01",4,56,5.42857142857143,42.8571428571429
"14","2020-04-02",13,69,7,49.8571428571429
"15","2020-04-03",15,84,8.57142857142857,58.4285714285714
"16","2020-04-04",3,87,8,66.4285714285714
"17","2020-04-05",6,93,8.71428571428571,75.1428571428571
"18","2020-04-06",5,98,8.28571428571429,83.4285714285714
"19","2020-04-07",9,107,8.85714285714286,92.2857142857143
"20","2020-04-08",13,120,9.71428571428571,102
"21","2020-04-09",7,127,10.1428571428571,112.142857142857
"22","2020-04-10",7,134,9.28571428571429,121.428571428571
"23","2020-04-11",9,143,8.42857142857143,129.857142857143
"24","2020-04-12",20,163,10.8571428571429,140.714285714286
"25","2020-04-13",19,182,12.7142857142857,153.428571428571
"26","2020-04-14",27,209,15.8571428571429,169.285714285714
"27","2020-04-15",21,230,17.5714285714286,186.857142857143
"28","2020-04-16",30,260,20,206.857142857143
"29","2020-04-17",28,288,23,229.857142857143
"30","2020-04-18",30,318,26.2857142857143,256.142857142857
"31","2020-04-19",27,345,28.8571428571429,285
"32","2020-04-20",39,384,31.5714285714286,316.571428571429
"33","2020-04-21",47,431,35.5714285714286,352.142857142857
"34","2020-04-22",42,473,37.7142857142857,389.857142857143
"35","2020-04-23",36,509,39.8571428571429,429.714285714286
"36","2020-04-24",34,543,40.4285714285714,470.142857142857
"37","2020-04-25",22,565,39.5714285714286,509.714285714286
"38","2020-04-26",21,586,38.2857142857143,548
"39","2020-04-27",39,625,40,588
"40","2020-04-28",29,654,38.5714285714286,626.571428571429
"41","2020-04-29",23,677,35.1428571428571,661.714285714286
"42","2020-04-30",60,737,37.7142857142857,699.428571428571
"43","2020-05-01",29,766,36.7142857142857,736.142857142857
"44","2020-05-02",29,795,36,772.142857142857
"45","2020-05-03",34,829,37.7142857142857,809.857142857143
"46","2020-05-04",50,879,41.8571428571429,851.714285714286
"47","2020-05-05",43,922,42.4285714285714,894.142857142857
"48","2020-05-06",54,976,46,940.142857142857
"49","2020-05-07",73,1049,53.1428571428571,993.285714285714
"50","2020-05-08",44,1093,50.8571428571429,1044.14285714286
"51","2020-05-09",40,1133,52.4285714285714,1096.57142857143
"52","2020-05-10",34,1167,53.1428571428571,1149.71428571429
"53","2020-05-11",56,1223,56.2857142857143,1206
"54","2020-05-12",52,1275,56.5714285714286,1262.57142857143
"55","2020-05-13",61,1336,59.1428571428571,1321.71428571429
"56","2020-05-14",66,1402,60.8571428571429,1382.57142857143
"57","2020-05-15",78,1480,61.5714285714286,1444.14285714286
"58","2020-05-16",38,1518,60.7142857142857,1504.85714285714
"59","2020-05-17",41,1559,60.8571428571429,1565.71428571429
"60","2020-05-18",62,1621,64.8571428571429,1630.57142857143
"61","2020-05-19",66,1687,66.2857142857143,1696.85714285714
"62","2020-05-20",83,1770,70.7142857142857,1767.57142857143
"63","2020-05-21",56,1826,70,1837.57142857143
"64","2020-05-22",65,1891,69.8571428571429,1907.42857142857
"65","2020-05-23",30,1921,63,1970.42857142857
"66","2020-05-24",41,1962,63.4285714285714,2033.85714285714
"67","2020-05-25",74,2036,68.1428571428571,2102
"68","2020-05-26",92,2128,72.4285714285714,2174.42857142857
"69","2020-05-27",109,2237,78.5714285714286,2253
"70","2020-05-28",98,2335,80.7142857142857,2333.71428571429
"71","2020-05-29",69,2404,82.5714285714286,2416.28571428571
"72","2020-05-30",55,2459,81.1428571428571,2497.42857142857
"73","2020-05-31",52,2511,84.2857142857143,2581.71428571429
"74","2020-06-01",86,2597,90.7142857142857,2672.42857142857
"75","2020-06-02",53,2650,87.7142857142857,2760.14285714286
"76","2020-06-03",57,2707,82.7142857142857,2842.85714285714
"77","2020-06-04",78,2785,78.2857142857143,2921.14285714286
"78","2020-06-05",67,2852,73.8571428571429,2995
"79","2020-06-06",72,2924,74.2857142857143,3069.28571428571
"80","2020-06-07",68,2992,76.1428571428571,3145.42857142857
"81","2020-06-08",112,3104,84.7142857142857,3230.14285714286
"82","2020-06-09",110,3214,88.1428571428571,3318.28571428571
"83","2020-06-10",150,3364,102,3420.28571428571
"84","2020-06-11",114,3478,110.142857142857,3530.42857142857
"85","2020-06-12",153,3631,120.857142857143,3651.28571428571
"86","2020-06-13",87,3718,123.714285714286,3775
"87","2020-06-14",58,3776,121.714285714286,3896.71428571429
"88","2020-06-15",140,3916,132,4028.71428571429
"89","2020-06-16",112,4028,132,4160.71428571429
"90","2020-06-17",128,4156,134.571428571429,4295.28571428571
"91","2020-06-18",119,4275,130.142857142857,4425.42857142857
"92","2020-06-19",130,4405,132.428571428571,4557.85714285714
"93","2020-06-20",82,4487,122.285714285714,4680.14285714286
"94","2020-06-21",59,4546,118.285714285714,4798.42857142857
"95","2020-06-22",104,4650,124.857142857143,4923.28571428571
"96","2020-06-23",105,4755,119.857142857143,5043.14285714286
"97","2020-06-24",99,4854,118,5161.14285714286
