"","FECHA_INGRESO","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-03-18",1,1,0,0
"2","2020-03-19",1,2,0,0
"3","2020-03-20",2,4,0,0
"4","2020-03-21",5,9,0,0
"5","2020-03-23",3,12,0,0
"6","2020-03-24",3,15,0,0
"7","2020-03-25",2,17,0,0
"8","2020-03-26",3,20,2.85714285714286,11.4285714285714
"9","2020-03-27",1,21,2.85714285714286,14.2857142857143
"10","2020-03-28",1,22,2.85714285714286,17.1428571428571
"11","2020-03-29",3,25,3,20.1428571428571
"12","2020-03-31",4,29,2.85714285714286,23
"13","2020-04-01",4,33,3,26
"14","2020-04-02",1,34,2.71428571428571,28.7142857142857
"15","2020-04-03",6,40,3.28571428571429,32
"16","2020-04-04",2,42,3.14285714285714,35.1428571428571
"17","2020-04-05",2,44,3.28571428571429,38.4285714285714
"18","2020-04-06",6,50,4,42.4285714285714
"19","2020-04-07",6,56,4.42857142857143,46.8571428571429
"20","2020-04-08",4,60,4.42857142857143,51.2857142857143
"21","2020-04-09",9,69,5.14285714285714,56.4285714285714
"22","2020-04-10",3,72,5.42857142857143,61.8571428571429
"23","2020-04-11",2,74,4.85714285714286,66.7142857142857
"24","2020-04-12",4,78,5.14285714285714,71.8571428571429
"25","2020-04-13",13,91,6.71428571428571,78.5714285714286
"26","2020-04-14",16,107,8.14285714285714,86.7142857142857
"27","2020-04-15",9,116,8.57142857142857,95.2857142857143
"28","2020-04-16",8,124,9.14285714285714,104.428571428571
"29","2020-04-17",14,138,9.85714285714286,114.285714285714
"30","2020-04-18",7,145,10.4285714285714,124.714285714286
"31","2020-04-19",8,153,11.2857142857143,136
"32","2020-04-20",28,181,14.7142857142857,150.714285714286
"33","2020-04-21",12,193,14.5714285714286,165.285714285714
"34","2020-04-22",12,205,14,179.285714285714
"35","2020-04-23",19,224,15.4285714285714,194.714285714286
"36","2020-04-24",22,246,17.4285714285714,212.142857142857
"37","2020-04-25",27,273,19.2857142857143,231.428571428571
"38","2020-04-26",20,293,21.1428571428571,252.571428571429
"39","2020-04-27",32,325,24.5714285714286,277.142857142857
"40","2020-04-28",29,354,24.7142857142857,301.857142857143
"41","2020-04-29",23,377,26.2857142857143,328.142857142857
"42","2020-04-30",26,403,28.2857142857143,356.428571428571
"43","2020-05-01",24,427,29,385.428571428571
"44","2020-05-02",16,443,28.1428571428571,413.571428571429
"45","2020-05-03",27,470,28.1428571428571,441.714285714286
"46","2020-05-04",43,513,31.4285714285714,473.142857142857
"47","2020-05-05",21,534,29.8571428571429,503
"48","2020-05-06",35,569,30.7142857142857,533.714285714286
"49","2020-05-07",29,598,31.5714285714286,565.285714285714
"50","2020-05-08",43,641,34,599.285714285714
"51","2020-05-09",45,686,37,636.285714285714
"52","2020-05-10",25,711,38.2857142857143,674.571428571429
"53","2020-05-11",69,780,44.2857142857143,718.857142857143
"54","2020-05-12",58,838,46.4285714285714,765.285714285714
"55","2020-05-13",101,939,57.8571428571429,823.142857142857
"56","2020-05-14",77,1016,63.8571428571429,887
"57","2020-05-15",103,1119,74.4285714285714,961.428571428571
"58","2020-05-16",44,1163,74.5714285714286,1036
"59","2020-05-17",27,1190,72,1108
"60","2020-05-18",66,1256,77.8571428571429,1185.85714285714
"61","2020-05-19",66,1322,77.4285714285714,1263.28571428571
"62","2020-05-20",101,1423,83.5714285714286,1346.85714285714
"63","2020-05-21",78,1501,80.2857142857143,1427.14285714286
"64","2020-05-22",96,1597,83,1510.14285714286
"65","2020-05-23",21,1618,71.2857142857143,1581.42857142857
