"","FECHA_INGRESO","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-03-11",1,1,0,0
"2","2020-03-12",1,2,0,0
"3","2020-03-13",4,6,0,0
"4","2020-03-14",3,9,0,0
"5","2020-03-15",3,12,0,0
"6","2020-03-16",2,14,0,0
"7","2020-03-17",5,19,0,0
"8","2020-03-18",6,25,3.57142857142857,12.5714285714286
"9","2020-03-19",7,32,4.42857142857143,17
"10","2020-03-20",5,37,5,22
"11","2020-03-21",4,41,5,27
"12","2020-03-22",2,43,4.85714285714286,31.8571428571429
"13","2020-03-23",8,51,5.57142857142857,37.4285714285714
"14","2020-03-24",15,66,7.42857142857143,44.8571428571429
"15","2020-03-25",6,72,7.57142857142857,52.4285714285714
"16","2020-03-26",15,87,8.85714285714286,61.2857142857143
"17","2020-03-27",9,96,9.14285714285714,70.4285714285714
"18","2020-03-28",13,109,10.2857142857143,80.7142857142857
"19","2020-03-29",4,113,10.2857142857143,91
"20","2020-03-30",15,128,12.1428571428571,103.142857142857
"21","2020-03-31",21,149,14,117.142857142857
"22","2020-04-01",16,165,14.1428571428571,131.285714285714
"23","2020-04-02",19,184,16,147.285714285714
"24","2020-04-03",14,198,15.8571428571429,163.142857142857
"25","2020-04-04",11,209,16.1428571428571,179.285714285714
"26","2020-04-05",8,217,15.4285714285714,194.714285714286
"27","2020-04-06",24,241,18.2857142857143,213
"28","2020-04-07",13,254,18,231
"29","2020-04-08",23,277,18.2857142857143,249.285714285714
"30","2020-04-09",12,289,17.7142857142857,267
"31","2020-04-10",8,297,16.1428571428571,283.142857142857
"32","2020-04-11",15,312,16.2857142857143,299.428571428571
"33","2020-04-12",5,317,15.4285714285714,314.857142857143
"34","2020-04-13",27,344,18.1428571428571,333
"35","2020-04-14",16,360,17,350
"36","2020-04-15",28,388,19.1428571428571,369.142857142857
"37","2020-04-16",21,409,18.8571428571429,388
"38","2020-04-17",30,439,21.4285714285714,409.428571428571
"39","2020-04-18",25,464,23.8571428571429,433.285714285714
"40","2020-04-19",18,482,24.2857142857143,457.571428571429
"41","2020-04-20",31,513,28,485.571428571429
"42","2020-04-21",22,535,27.2857142857143,512.857142857143
"43","2020-04-22",27,562,28.8571428571429,541.714285714286
"44","2020-04-23",32,594,29.4285714285714,571.142857142857
"45","2020-04-24",39,633,32,603.142857142857
"46","2020-04-25",43,676,33.8571428571429,637
"47","2020-04-26",24,700,33.7142857142857,670.714285714286
"48","2020-04-27",36,736,36.2857142857143,707
"49","2020-04-28",44,780,38.1428571428571,745.142857142857
"50","2020-04-29",44,824,41.2857142857143,786.428571428571
"51","2020-04-30",46,870,44,830.428571428571
"52","2020-05-01",41,911,45.2857142857143,875.714285714286
"53","2020-05-02",43,954,45.8571428571429,921.571428571429
"54","2020-05-03",38,992,45.1428571428571,966.714285714286
"55","2020-05-04",48,1040,48.5714285714286,1015.28571428571
"56","2020-05-05",37,1077,48.7142857142857,1064
"57","2020-05-06",49,1126,49.4285714285714,1113.42857142857
"58","2020-05-07",64,1190,52.2857142857143,1165.71428571429
"59","2020-05-08",47,1237,52.4285714285714,1218.14285714286
"60","2020-05-09",48,1285,53.4285714285714,1271.57142857143
"61","2020-05-10",37,1322,52.5714285714286,1324.14285714286
"62","2020-05-11",73,1395,57.5714285714286,1381.71428571429
"63","2020-05-12",72,1467,61,1442.71428571429
"64","2020-05-13",90,1557,68.5714285714286,1511.28571428571
"65","2020-05-14",106,1663,76.7142857142857,1588
"66","2020-05-15",105,1768,82.5714285714286,1670.57142857143
"67","2020-05-16",76,1844,86.7142857142857,1757.28571428571
"68","2020-05-17",67,1911,89.4285714285714,1846.71428571429
"69","2020-05-18",131,2042,102.857142857143,1949.57142857143
"70","2020-05-19",129,2171,110.857142857143,2060.42857142857
"71","2020-05-20",121,2292,117.857142857143,2178.28571428571
"72","2020-05-21",145,2437,125.714285714286,2304
"73","2020-05-22",174,2611,135.428571428571,2439.42857142857
"74","2020-05-23",146,2757,141.285714285714,2580.71428571429
"75","2020-05-24",81,2838,142,2722.71428571429
"76","2020-05-25",168,3006,156.428571428571,2879.14285714286
"77","2020-05-26",166,3172,161.428571428571,3040.57142857143
"78","2020-05-27",201,3373,171.714285714286,3212.28571428571
"79","2020-05-28",168,3541,178.428571428571,3390.71428571429
"80","2020-05-29",153,3694,179.571428571429,3570.28571428571
"81","2020-05-30",121,3815,172,3742.28571428571
"82","2020-05-31",63,3878,160.142857142857,3902.42857142857
"83","2020-06-01",196,4074,176.571428571429,4079
"84","2020-06-02",180,4254,178.285714285714,4257.28571428571
"85","2020-06-03",195,4449,182.428571428571,4439.71428571429
"86","2020-06-04",206,4655,183.142857142857,4622.85714285714
"87","2020-06-05",209,4864,189,4811.85714285714
"88","2020-06-06",124,4988,184.857142857143,4996.71428571429
"89","2020-06-07",92,5080,180.714285714286,5177.42857142857
"90","2020-06-08",308,5388,215.714285714286,5393.14285714286
"91","2020-06-09",246,5634,222.857142857143,5616
"92","2020-06-10",257,5891,233.857142857143,5849.85714285714
"93","2020-06-11",308,6199,250,6099.85714285714
"94","2020-06-12",310,6509,264.857142857143,6364.71428571429
"95","2020-06-13",175,6684,260,6624.71428571429
"96","2020-06-14",145,6829,263,6887.71428571429
"97","2020-06-15",447,7276,313.714285714286,7201.42857142857
"98","2020-06-16",414,7690,328.857142857143,7530.28571428571
"99","2020-06-17",432,8122,355.428571428571,7885.71428571429
"100","2020-06-18",502,8624,390.428571428571,8276.14285714286
"101","2020-06-19",436,9060,408.714285714286,8684.85714285714
"102","2020-06-20",216,9276,395.285714285714,9080.14285714286
"103","2020-06-21",161,9437,393.285714285714,9473.42857142857
"104","2020-06-22",502,9939,444.285714285714,9917.71428571429
"105","2020-06-23",416,10355,439.857142857143,10357.5714285714
"106","2020-06-24",366,10721,433,10790.5714285714
"107","2020-06-25",454,11175,436.142857142857,11226.7142857143
"108","2020-06-26",341,11516,413.142857142857,11639.8571428571
"109","2020-06-27",177,11693,376.142857142857,12016
"110","2020-06-28",133,11826,364.285714285714,12380.2857142857
"111","2020-06-29",343,12169,390.285714285714,12770.5714285714
"112","2020-06-30",352,12521,368.857142857143,13139.4285714286
"113","2020-07-01",294,12815,351.428571428571,13490.8571428571
"114","2020-07-02",257,13072,335.857142857143,13826.7142857143
"115","2020-07-03",262,13334,308.428571428571,14135.1428571429
"116","2020-07-04",152,13486,281.428571428571,14416.5714285714
"117","2020-07-05",116,13602,272.714285714286,14689.2857142857
"118","2020-07-06",279,13881,293.571428571429,14982.8571428571
"119","2020-07-07",259,14140,281.571428571429,15264.4285714286
"120","2020-07-08",75,14215,242,15506.4285714286
"121","2020-07-09",18,14233,202.571428571429,15709
"122","2020-07-10",11,14244,167.428571428571,15876.4285714286
"123","2020-07-11",1,14245,130.142857142857,16006.5714285714
"124","2020-07-12",1,14246,108.571428571429,16115.1428571429
