"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,1.82766663892809,0.430785158044825,1.0831910816887,1.18131278994704,1.52168676377184,1.79393465663882,2.09692333826451,2.58911623004367,2.76370070789993
"2",3,9,1.59396957817258,0.365681700543812,0.959673811230529,1.04379438350506,1.33451182301599,1.56609410098829,1.82307782939487,2.23925630863561,2.38657181229401
"3",4,10,2.14111159908479,0.397594442466859,1.43393604136512,1.53170525856126,1.86124649280563,2.11655204548283,2.39422567317482,2.83430767051194,2.98779542356993
"4",5,11,1.66096318674333,0.303249001521662,1.12064488723632,1.19556015171129,1.44763507066597,1.64254493971453,1.85422901823392,2.18920330883994,2.30590619187165
"5",6,12,1.78943011129287,0.290283895668107,1.26630724822491,1.3401846582915,1.58603752792619,1.77375807000575,1.97574886822111,2.29214154947133,2.40158596534342
"6",7,13,1.50881966222179,0.241604506936391,1.07291827622492,1.13459262588692,1.33960640845101,1.49594354640719,1.66400486962533,1.92697408508973,2.01787100120339
"7",8,14,1.51011479324369,0.227658370888838,1.09725172055564,1.15615134177412,1.35097283101037,1.49869006551461,1.6568090738134,1.90305357504223,1.98788483638076
"8",9,15,1.33799271138248,0.20170999072209,0.972187552379287,1.02437382606265,1.19698966545779,1.32787016805039,1.46796685578654,1.68614453958665,1.76130677882579
"9",10,16,1.386093144968,0.198013306424001,1.02543933919841,1.07724603350004,1.24790042629331,1.37667542843593,1.51402432924834,1.72706830500248,1.8002531426675
"10",11,17,1.34385446358294,0.186359083661902,1.00365479100839,1.05270021146018,1.21390912541103,1.33524989797086,1.46442401216334,1.66436256341267,1.73294119886727
"11",12,18,1.47680478384948,0.187554395103373,1.13225775963996,1.18242794603949,1.34635060017311,1.46887260676012,1.59861519294884,1.79824123030326,1.86642046961568
"12",13,19,1.40909999296323,0.172148963182791,1.09203313993138,1.13839068047953,1.28948617581239,1.40209577957416,1.52108102823425,1.70370313549299,1.76596366102793
"13",14,20,1.36354922937949,0.160695817762655,1.06689329421547,1.11042412983479,1.25199854549857,1.35724172350361,1.46822619285942,1.63819132956585,1.69604387430764
"14",15,21,1.26435059910424,0.147981044577275,0.991049039896086,1.0311800737016,1.16164441188286,1.25858201875155,1.36077034145183,1.51719965152113,1.57042881895744
"15",16,22,1.20844715496333,0.140479128311173,0.948890934740579,0.987028911859556,1.11096466107988,1.20300807996537,1.30000226400403,1.4484198560196,1.49890788308177
"16",17,23,1.23651410140786,0.13911870548184,0.978959858597642,1.01692172928976,1.14005523035753,1.23130067406712,1.32729137790321,1.47389109492465,1.52369105879907
