"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,1.8615793817108,0.537391678574292,0.961905231428871,1.07416427082283,1.47663986639095,1.81013202200184,2.1905476084719,2.82456109347398,3.05330642386673
"2",3,9,3.46475470164266,0.666792353223137,2.28329518041332,2.44561751371875,2.99480088009493,3.42207510708629,3.88822343858849,4.6295036102469,4.8886436502185
"3",4,10,2.02129272153436,0.381988419146061,1.34313433424404,1.43660772827089,1.75224440425683,1.99728130596009,2.26418783161804,2.68789788585846,2.83584354543576
"4",5,11,1.6769206067838,0.30616241449358,1.13141129152786,1.20704629160697,1.46154297727842,1.65832540959344,1.87204320673091,2.21023570560344,2.32805979164515
"5",6,12,1.58609649962349,0.276103960773994,1.09179584936571,1.16086349781285,1.39218415617138,1.57010441175217,1.76258801051399,2.06588846640899,2.1712436459266
"6",7,13,1.47262265114027,0.248918659844158,1.02573563351916,1.08846332583639,1.29797654629689,1.45862166780026,1.63201628045479,1.90454761729845,1.99904704888952
"7",8,14,1.40090593112772,0.230307516387467,0.986367058954758,1.04479623185263,1.23946649483023,1.38830557033442,1.54861820191065,1.80000257563873,1.88702689579677
"8",9,15,1.24828729618865,0.208047882698108,0.874285075852116,0.926893764759588,1.10238534459534,1.23674829975501,1.38161858697052,1.60904701250659,1.68784140937237
"9",10,16,0.697353302413262,0.152174966401724,0.43167268528136,0.467293949042712,0.589594119311047,0.686315983077631,0.793094109677834,0.965071181579671,1.02571963507709
"10",11,17,0.851914531706316,0.181628788433541,0.533890301436273,0.576736013364889,0.723413503985288,0.839042083376798,0.96639820280141,1.17101241295395,1.24304904506772
"11",12,18,0.841440149044202,0.188151737226039,0.513973503037185,0.557649800822085,0.708078089421695,0.827458460760943,0.959578632458125,1.17293557787262,1.24831237257718
"12",13,19,0.718523309874996,0.179630827468749,0.410698154416451,0.450691803064741,0.590628555159335,0.703610787191941,0.830185921675419,1.03723913274172,1.11102649691074
"13",14,20,0.751431883039583,0.194018877921439,0.420570720706784,0.46319916880273,0.613108493997653,0.734800980115785,0.871654535015023,1.09641355484187,1.17672334876448
"14",15,21,0.713065996509762,0.197768924092752,0.379677611599296,0.421782831327815,0.571643921930655,0.694867952137183,0.834686681757595,1.066448851842,1.14976873313865
"15",16,22,0.786773932696773,0.218211827425898,0.418923983329791,0.46538151948355,0.630733394610034,0.766694799757487,0.920966258930358,1.17668513334053,1.26861759260862
"16",17,23,1.23093881207272,0.28239673092142,0.741105575256786,0.806067465825113,1.03057324343893,1.20941204817392,1.40786705616063,1.72925979154404,1.84302380157055
"17",18,24,1.0108777672828,0.245173871123266,0.588873551453869,0.644115874014479,0.83653345315828,0.991127218659708,1.16372186069403,1.44503095908555,1.54503732933745
"18",19,25,1.60028030575689,0.307974088435866,1.05459480514241,1.12956727954298,1.38322082824714,1.58056770832716,1.79586952871599,2.13824760794643,2.2579376691802
"19",20,26,1.63529651668328,0.284668584416743,1.12566287727187,1.19687297385043,1.4353690974724,1.61880836126734,1.81726271675492,2.12997141963099,2.23859467056218
"20",21,27,1.89451540896194,0.279331057862944,1.38702338736846,1.45963292511984,1.69938557039909,1.8808048625631,2.07470672522299,2.37617102868684,2.4799017456444
"21",22,28,1.83493123541781,0.243042579430023,1.38975899856938,1.45428137161583,1.6656844794886,1.82421187087111,1.99249738404008,2.2521491097378,2.34100713751323
"22",23,29,1.48985647829214,0.19562773963749,1.13131048697711,1.18332830665822,1.35366115299639,1.48130288818254,1.6167311160242,1.82556429781611,1.89700115338449
"23",24,30,1.52593193582738,0.186422256725572,1.18257629091239,1.23277744905737,1.3964006431809,1.51834698589543,1.64719759389308,1.8449613488046,1.91238404749852
"24",25,31,1.55841990168666,0.176456306423368,1.23186626195363,1.27996945045559,1.43605329970837,1.55176507104974,1.6735340953904,1.85957206815491,1.92278623683335
"25",26,32,1.33046643338786,0.151620721709079,1.04998330305775,1.09127485612648,1.22530546205876,1.32471129206711,1.42935549916077,1.5892906202958,1.64365016198125
"26",27,33,1.31425547219786,0.145135237447028,1.04526637945981,1.08498207106896,1.2136713535509,1.30891684837294,1.40902149306077,1.56174053513899,1.61357882573854
"27",28,34,1.14957785829615,0.131006555416665,0.907228868376847,0.94290647282539,1.05871444290804,1.14460517889014,1.2350220886708,1.37321262802366,1.42018151347655
"28",29,35,0.964512991689144,0.118723342215954,0.745954277898406,0.77788437873284,0.882004242627404,0.959646111941323,1.04171812856318,1.16774425898264,1.21072445420814
"29",30,36,1.04958615709362,0.12635532490873,0.816640679207993,0.850750170355733,0.961825098162663,1.04452007030281,1.13182643423009,1.26570430511257,1.31131648533579
"30",31,37,1.02156929586261,0.124804553246997,0.791702172584883,0.825310461771022,0.934851672150717,1.01649138132448,1.10275330545956,1.23515067857211,1.28028831362171
"31",32,38,1.25634731800402,0.138740351607224,0.999210305921707,1.03717606196485,1.16019509313668,1.25124392230497,1.34693779958666,1.492927801517,1.54248201585536
"32",33,39,1.23672103719868,0.132590412607831,0.990562852850395,1.0270045022847,1.14489688806668,1.23198588349213,1.32338467172024,1.46259055600254,1.5097847830863
"33",34,40,1.2618218206313,0.129460187215639,1.02088920441809,1.05669283672635,1.17225831124698,1.25739714802887,1.34656307626948,1.48204457150802,1.52789612760134
"34",35,41,1.10112139247796,0.116718634165629,0.884290895596678,0.916422898637807,1.0203110000074,1.0970000995283,1.17744024690364,1.29987879413987,1.34136951700685
"35",36,42,1.10762573407825,0.116110726179722,0.891791148321683,0.923806413807509,1.02725734951502,1.1035711496425,1.1835752560851,1.30527638266251,1.34649897510887
"36",37,43,1.05123425761472,0.112061948390508,0.843120614501677,0.873945614064528,0.973637494461953,1.04725500225116,1.124494293714,1.24209728718119,1.28195841879242
"37",38,44,1.35739964674279,0.12713212497853,1.11968732168214,1.15527068042791,1.2696253548535,1.35343271170048,1.4408503726216,1.57306078906936,1.61765322887823
