"","FECHA_INGRESO","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-02-27",3,3,0,0
"2","2020-03-02",1,4,0,0
"3","2020-03-05",1,5,0,0
"4","2020-03-07",1,6,0,0
"5","2020-03-08",1,7,0,0
"6","2020-03-10",3,10,0,0
"7","2020-03-11",12,22,0,0
"8","2020-03-12",17,39,5.57142857142857,13.7142857142857
"9","2020-03-13",24,63,8.57142857142857,22.2857142857143
"10","2020-03-14",21,84,11.4285714285714,33.7142857142857
"11","2020-03-15",10,94,12.7142857142857,46.4285714285714
"12","2020-03-16",26,120,16.2857142857143,62.7142857142857
"13","2020-03-17",34,154,21,83.7142857142857
"14","2020-03-18",31,185,25,108.714285714286
"15","2020-03-19",39,224,28.8571428571429,137.571428571429
"16","2020-03-20",24,248,29.8571428571429,167.428571428571
"17","2020-03-21",12,260,28.1428571428571,195.571428571429
"18","2020-03-22",11,271,26.7142857142857,222.285714285714
"19","2020-03-23",25,296,28.8571428571429,251.142857142857
"20","2020-03-24",35,331,30.1428571428571,281.285714285714
"21","2020-03-25",25,356,28.8571428571429,310.142857142857
"22","2020-03-26",50,406,31.5714285714286,341.714285714286
"23","2020-03-27",39,445,31.5714285714286,373.285714285714
"24","2020-03-28",49,494,35.1428571428571,408.428571428571
"25","2020-03-29",35,529,38.4285714285714,446.857142857143
"26","2020-03-30",77,606,47.8571428571429,494.714285714286
"27","2020-03-31",51,657,51.5714285714286,546.285714285714
"28","2020-04-01",55,712,54.4285714285714,600.714285714286
"29","2020-04-02",71,783,61,661.714285714286
"30","2020-04-03",79,862,65.1428571428571,726.857142857143
"31","2020-04-04",57,919,67.7142857142857,794.571428571429
"32","2020-04-05",55,974,68.5714285714286,863.142857142857
"33","2020-04-06",117,1091,80.2857142857143,943.428571428571
"34","2020-04-07",127,1218,87.4285714285714,1030.85714285714
"35","2020-04-08",125,1343,98,1128.85714285714
"36","2020-04-09",127,1470,108.285714285714,1237.14285714286
"37","2020-04-10",147,1617,119.142857142857,1356.28571428571
"38","2020-04-11",110,1727,123.571428571429,1479.85714285714
"39","2020-04-12",114,1841,131.714285714286,1611.57142857143
"40","2020-04-13",268,2109,162.142857142857,1773.71428571429
"41","2020-04-14",247,2356,180.714285714286,1954.42857142857
"42","2020-04-15",226,2582,194.857142857143,2149.28571428571
"43","2020-04-16",250,2832,212.714285714286,2362
"44","2020-04-17",327,3159,241.285714285714,2603.28571428571
"45","2020-04-18",197,3356,248.428571428571,2851.71428571429
"46","2020-04-19",185,3541,259.142857142857,3110.85714285714
"47","2020-04-20",446,3987,306.571428571429,3417.42857142857
"48","2020-04-21",432,4419,330,3747.42857142857
"49","2020-04-22",399,4818,351.714285714286,4099.14285714286
"50","2020-04-23",344,5162,368.571428571429,4467.71428571429
"51","2020-04-24",508,5670,405.428571428571,4873.14285714286
"52","2020-04-25",247,5917,394,5267.14285714286
"53","2020-04-26",222,6139,397.571428571429,5664.71428571429
"54","2020-04-27",495,6634,441.857142857143,6106.57142857143
"55","2020-04-28",535,7169,454.571428571429,6561.14285714286
"56","2020-04-29",564,7733,473.428571428571,7034.57142857143
"57","2020-04-30",530,8263,492.142857142857,7526.71428571429
"58","2020-05-01",327,8590,489.714285714286,8016.42857142857
"59","2020-05-02",320,8910,462.857142857143,8479.28571428571
"60","2020-05-03",292,9202,469.285714285714,8948.57142857143
"61","2020-05-04",717,9919,540,9488.57142857143
"62","2020-05-05",588,10507,553.285714285714,10041.8571428571
"63","2020-05-06",681,11188,574.142857142857,10616
"64","2020-05-07",704,11892,594.142857142857,11210.1428571429
"65","2020-05-08",787,12679,630.857142857143,11841
"66","2020-05-09",391,13070,640,12481
"67","2020-05-10",354,13424,644.857142857143,13125.8571428571
"68","2020-05-11",792,14216,716.285714285714,13842.1428571429
"69","2020-05-12",797,15013,727.714285714286,14569.8571428571
"70","2020-05-13",875,15888,768.714285714286,15338.5714285714
"71","2020-05-14",786,16674,783.714285714286,16122.2857142857
"72","2020-05-15",913,17587,813.571428571429,16935.8571428571
"73","2020-05-16",584,18171,784.571428571429,17720.4285714286
"74","2020-05-17",358,18529,779.857142857143,18500.2857142857
